"lead_id","created_date","source","campaign","country","device","job_title","company_size","industry","customer_id","conversion_date","revenue","converted","conversion_days","lead_quality"
190,"2024-01-11","Google Ads","Campaign A","Europe","Desktop","Director","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
191,"2024-03-05","Google Ads","Campaign B","Europe","Mobile","VP","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
192,"2024-05-26","Facebook Ads","Campaign B","USA","Desktop","VP","Medium","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
193,"2024-03-18","LinkedIn","Campaign A","USA","Desktop","VP","Medium","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
194,"2024-04-19","Google Ads","Campaign B","Europe","Desktop","Director","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
195,"2024-04-07","Facebook Ads","Campaign A","USA","Mobile","VP","Medium","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
196,"2024-03-02","LinkedIn","Campaign A","USA","Mobile","Director","Medium","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
197,"2024-02-20","Facebook Ads","Campaign A","Europe","Mobile","VP","Medium","Retail","26","2024-03-14","2221.265153287606",1,23,"Medium Value"
198,"2024-04-09","Facebook Ads","Campaign B","USA","Mobile","VP","Small","Tech",NULL,NULL,NULL,0,NULL,"Not Converted"
199,"2024-02-22","Facebook Ads","Campaign B","USA","Desktop","VP","Medium","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
200,"2024-04-07","Google Ads","Campaign B","USA","Mobile","Director","Small","Retail",NULL,NULL,NULL,0,NULL,"Not Converted"
201,"2024-03-08","LinkedIn","Campaign A","USA","Mobile","VP","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
202,"2024-02-24","Facebook Ads","Campaign A","USA","Desktop","VP","Small","Finance",NULL,NULL,NULL,0,NULL,"Not Converted"
